split,year,month,date,hour,station,actual_mm,rain_tier,regime,ar_like_hour,ar_like_day,echo_top_m,max_z_height_m,rhohv_min,reflectivity_dbz,z_per_mm
train,2022,3,2022-03-28,2022-03-28 06:00:00,Dangermond_Oaks,0.0,dry_light,light_dry,0,0,nan,909.0909,0.9125523,7.823179,nan
train,2022,3,2022-03-28,2022-03-28 06:00:00,Dangermond_Sutter,0.0,dry_light,light_dry,0,0,nan,1272.7273,0.66129905,7.7889457,nan
train,2022,3,2022-03-28,2022-03-28 06:00:00,Dangermond_Tinta,0.0,dry_light,light_dry,0,0,nan,909.0909,0.71856385,9.856753,nan
train,2022,3,2022-03-28,2022-03-28 07:00:00,Dangermond_Oaks,0.0,dry_light,light_dry,0,0,nan,3090.9092,0.8303687,8.075837,nan
train,2022,3,2022-03-28,2022-03-28 07:00:00,Dangermond_Sutter,0.254,dry_light,light_dry,0,0,nan,2727.2727,0.7154268,8.787687,34.59719410092812
train,2022,3,2022-03-28,2022-03-28 07:00:00,Dangermond_Tinta,0.254,dry_light,light_dry,0,0,nan,2727.2727,0.75848985,12.141247,47.80018423485944
train,2022,3,2022-03-28,2022-03-28 08:00:00,Dangermond_Oaks,0.254,dry_light,light_dry,0,0,2363.6365,2000.0,0.92943096,25.360798,99.84566095307117
train,2022,3,2022-03-28,2022-03-28 08:00:00,Dangermond_Sutter,0.762,dry_light,light_dry,0,0,2000.0,2000.0,0.8532904,27.100733,35.56526614612169
train,2022,3,2022-03-28,2022-03-28 08:00:00,Dangermond_Tinta,0.762,dry_light,light_dry,0,0,1272.7273,1272.7273,0.7467458,28.308744,37.15058324218109
train,2022,3,2022-03-28,2022-03-28 09:00:00,Dangermond_Oaks,2.54,moderate,bright_band,0,0,3818.182,2000.0,0.9300453,34.479336,13.574541647603192
train,2022,3,2022-03-28,2022-03-28 09:00:00,Dangermond_Sutter,1.778,moderate,bright_band,0,0,2727.2727,2000.0,0.8779274,37.025448,20.82421138664735
train,2022,3,2022-03-28,2022-03-28 09:00:00,Dangermond_Tinta,4.318,moderate,bright_band,0,0,4545.4546,2363.6365,0.89858454,38.42706,8.899272620098191
train,2022,3,2022-03-28,2022-03-28 10:00:00,Dangermond_Oaks,8.89,heavy,bright_band,0,0,4545.4546,1636.3636,0.8309352,39.37557,4.429197794138648
train,2022,3,2022-03-28,2022-03-28 10:00:00,Dangermond_Sutter,10.414,heavy,bright_band,0,0,4909.091,2000.0,0.92413366,37.91921,3.6411761596515584
train,2022,3,2022-03-28,2022-03-28 10:00:00,Dangermond_Tinta,7.112,heavy,bright_band,0,0,4545.4546,1636.3636,0.91455686,39.645626,5.57446935715906
train,2022,3,2022-03-28,2022-03-28 11:00:00,Dangermond_Oaks,12.7,heavy,bright_band,0,0,5636.364,1636.3636,0.8775319,43.005592,3.3862671138733393
train,2022,3,2022-03-28,2022-03-28 11:00:00,Dangermond_Sutter,12.954,heavy,bright_band,0,0,4909.091,1636.3636,0.90288955,41.727974,3.2212423913839956
train,2022,3,2022-03-28,2022-03-28 11:00:00,Dangermond_Tinta,10.16,heavy,bright_band,0,0,5636.364,2000.0,0.8563137,40.196026,3.9563017567311682
train,2022,3,2022-03-28,2022-03-28 12:00:00,Dangermond_Oaks,4.572,moderate,bright_band,0,0,5636.364,1636.3636,0.9198759,40.559593,8.87130209988705
train,2022,3,2022-03-28,2022-03-28 12:00:00,Dangermond_Sutter,7.62,heavy,bright_band,0,0,4909.091,1636.3636,0.92124635,39.00556,5.11884013498862
train,2022,3,2022-03-28,2022-03-28 12:00:00,Dangermond_Tinta,4.8260000000000005,moderate,bright_band,0,0,5636.364,1636.3636,0.8971965,39.00804,8.082892951064222
train,2022,3,2022-03-28,2022-03-28 13:00:00,Dangermond_Oaks,1.524,moderate,stratiform_mid,0,0,4545.4546,4545.4546,0.80287504,41.886314,27.484458262526143
train,2022,3,2022-03-28,2022-03-28 13:00:00,Dangermond_Sutter,1.778,moderate,stratiform_mid,0,0,4909.091,4909.091,0.77648777,43.61358,24.52957187648297
train,2022,3,2022-03-28,2022-03-28 14:00:00,Dangermond_Oaks,0.0,dry_light,light_dry,0,0,nan,1636.3636,0.8344681,14.001198,nan
train,2022,3,2022-03-28,2022-03-28 14:00:00,Dangermond_Sutter,0.0,dry_light,light_dry,0,0,nan,4545.4546,0.59903246,16.451584,nan
train,2022,3,2022-03-28,2022-03-28 14:00:00,Dangermond_Tinta,0.508,dry_light,light_dry,0,0,1272.7273,5272.727,0.6533766,23.095137,45.46286740640956
train,2022,3,2022-03-28,2022-03-28 15:00:00,Dangermond_Oaks,0.0,dry_light,light_dry,0,0,nan,909.0909,0.7832809,-5.9140506,nan
train,2022,3,2022-03-28,2022-03-28 15:00:00,Dangermond_Sutter,0.0,dry_light,light_dry,0,0,nan,1636.3636,0.6882767,3.9434633,nan
train,2022,3,2022-03-28,2022-03-28 15:00:00,Dangermond_Tinta,0.0,dry_light,light_dry,0,0,nan,1272.7273,0.65372723,6.5,nan
train,2022,3,2022-03-28,2022-03-28 16:00:00,Dangermond_Oaks,0.254,dry_light,light_dry,0,0,2727.2727,4181.8184,0.8253504,30.016895,118.17675312673013
train,2022,3,2022-03-28,2022-03-28 16:00:00,Dangermond_Tinta,0.254,dry_light,light_dry,0,0,3818.182,3818.182,0.7223895,34.42985,135.55059658260797
train,2022,3,2022-03-28,2022-03-28 17:00:00,Dangermond_Oaks,0.508,dry_light,light_dry,0,0,2727.2727,4909.091,0.7896608,20.00204,39.37409618708092
train,2022,3,2022-03-28,2022-03-28 17:00:00,Dangermond_Sutter,1.27,moderate,stratiform_mid,0,0,3454.5454,4909.091,0.7334194,33.994705,26.76748440960261
train,2022,3,2022-03-28,2022-03-28 17:00:00,Dangermond_Tinta,0.762,dry_light,light_dry,0,0,3818.182,5636.364,0.7030289,26.722185,35.06848442898647
train,2022,3,2022-03-28,2022-03-28 19:00:00,Dangermond_Oaks,0.0,dry_light,light_dry,0,0,nan,4181.8184,0.8839005,14.365301,nan
train,2022,3,2022-03-28,2022-03-28 19:00:00,Dangermond_Sutter,0.0,dry_light,light_dry,0,0,nan,2727.2727,0.6413584,14.95631,nan
train,2022,3,2022-03-28,2022-03-28 19:00:00,Dangermond_Tinta,0.0,dry_light,light_dry,0,0,nan,1636.3636,0.69333506,11.539752,nan
train,2022,3,2022-03-28,2022-03-28 20:00:00,Dangermond_Oaks,0.762,dry_light,light_dry,0,0,1636.3636,1636.3636,0.77092636,27.337465,35.87593869587255
train,2022,3,2022-03-28,2022-03-28 20:00:00,Dangermond_Sutter,0.762,dry_light,light_dry,0,0,2000.0,5636.364,0.7172045,33.025017,43.339917040246675
train,2022,3,2022-03-28,2022-03-28 20:00:00,Dangermond_Tinta,0.762,dry_light,light_dry,0,0,181.81818,5272.727,0.7120044,21.776793,28.578467882211438
train,2022,3,2022-03-28,2022-03-28 21:00:00,Dangermond_Oaks,0.0,dry_light,light_dry,0,0,nan,1636.3636,0.7722023,13.862946,nan
